rank,stock_id,name,market,industry_category,signal,long_score,raw_long_score,risk_penalty,close,ret_1d,turnover,money_ma20,vol_ratio_5,intraday_pos,rsi14,macd_hist,close_vwap_diff,breakout_20d,near_limit_up,long_upper_shadow,reasons
109,7610,聯友金屬-創,twse,創新板股票,中性觀察,52.53439719180502,52.53439719180502,0.0,2545.0,-0.0019607843137254832,351533445.0,929849569.75,0.7495568539559869,0.6086956521739131,72.59887005649718,3.1113321399384404,0.00046268712782082666,False,False,False,MACD動能擴大
110,6603,富強鑫,tpex,電機機械,中性觀察,52.45880919081807,66.45880919081807,14.0,26.8,0.050980392156862786,120674690.0,46220015.6,1.530283191799783,0.7741935483870978,71.42857142857142,0.3544417321371872,0.008390150411822006,True,False,False,量破5日高、接近20日突破、MACD動能擴大、流動性不足扣分
111,1504,東元,twse,電機機械,中性觀察,52.42381516396742,65.42381516396742,13.0,73.1,0.04428571428571426,2111662374.0,1238676247.7,2.5450240487992537,0.5714285714285691,49.74874371859294,-0.04386880138499474,-0.005341451900113259,False,False,True,量破5日高、RSI健康、長上影扣分、收低於VWAP扣分
112,1326,台化,twse,塑膠工業,中性觀察,52.418101926910495,61.418101926910495,9.0,67.6,-0.005882352941176561,8944338744.0,2624420866.85,1.8570699936098922,0.06896551724137788,73.39181286549706,1.3189007300437838,-0.019348431779385722,False,False,False,量破5日高、MACD動能擴大、收低於VWAP扣分
113,4721,美琪瑪,tpex,化學工業,中性觀察,52.38946589228806,61.38946589228806,9.0,100.0,0.0964912280701753,203814727.0,240887384.85,2.212018408027258,1.0,48.677248677248684,-0.22850722291236314,0.01776404018145361,False,True,False,量破5日高、收在高檔、RSI健康、近漲停過熱扣分
114,8462,柏文,twse,運動休閒,中性觀察,52.30697469222673,66.30697469222673,14.0,151.0,0.027210884353741527,29066983.0,24290387.8,1.2989172291334623,1.0,58.82352941176471,1.1363258624321975,0.009321848091355056,True,False,False,接近20日突破、收在高檔、MACD動能擴大、RSI健康、流動性不足扣分
115,3583,辛耘,twse,電子工業,中性觀察,51.930982649573316,51.930982649573316,0.0,860.0,0.010575793184488758,1221688924.0,1487642897.3,0.6493626032852255,0.8275862068965517,56.91318327974276,-0.250738321565942,0.01062003243634213,False,False,False,收在高檔、RSI健康
116,8033,雷虎,twse,其他,中性觀察,51.928009024252674,61.928009024252674,10.0,222.0,0.08557457212713926,2143343683.0,1691731660.55,0.35588643123637503,0.7222222222222222,93.05555555555556,8.97768782643664,0.00821244728020587,True,False,False,接近20日突破、MACD動能擴大、RSI過熱扣分
117,2395,研華,twse,電腦及週邊設備業,中性觀察,51.86147669589294,51.86147669589294,0.0,515.0,-0.01151631477927062,785285614.0,1325553398.15,0.7025035054355828,0.4090909090909091,59.803921568627445,2.0301515474299165,-0.0017427786471585494,False,False,False,MACD動能擴大、RSI健康、產業相對強
118,6415,矽力*-KY,twse,電子工業,中性觀察,51.8108381995258,60.8108381995258,9.0,620.0,0.024793388429751984,1236150358.0,3000012142.0,1.1563355710262186,0.16666666666666666,60.705289672544076,-2.0220422581834185,-0.015041647546891634,False,False,False,量破5日高、RSI健康、收低於VWAP扣分
119,3708,上緯投控,twse,綠能環保,中性觀察,51.77010251816462,65.77010251816462,14.0,118.5,0.07239819004524883,303119460.0,89687115.45,2.6081234566710396,0.8235294117647058,49.27536231884058,0.09627761001294122,0.014764782835123835,False,False,False,量破5日高、收在高檔、MACD動能擴大、RSI健康、流動性不足扣分
120,6548,長科*,tpex,半導體業,中性觀察,51.71952950353558,64.71952950353558,13.0,94.2,0.028384279475982543,2419826969.0,1099241903.95,1.5803675059391766,0.12500000000000075,53.10880829015545,-0.844873856104714,-0.03926121711060249,False,False,True,量破5日高、RSI健康、產業相對強、長上影扣分、收低於VWAP扣分
